installer,opcode,handler,engine_va,patch_len,handler_prior_va,handler_rva,handler_current_va
FUN_52dc32900,E9_jmp,&LAB_52dbc960,0x00778BEE,6,0x52DBC960,0x009FE920,0x78E7E920
FUN_52dc32900,E9_jmp,&LAB_52dbc920,0x007789CE,6,0x52DBC920,0x009FE8E0,0x78E7E8E0
FUN_52dc32900,E9_jmp,&LAB_52dbc8e0,0x007761BE,6,0x52DBC8E0,0x009FE8A0,0x78E7E8A0
FUN_52dc32900,E9_jmp,&LAB_52dbc8b0,0x0077636C,20,0x52DBC8B0,0x009FE870,0x78E7E870
FUN_52dc32900,E9_jmp,&LAB_52dbc870,0x00775E5F,6,0x52DBC870,0x009FE830,0x78E7E830
FUN_52dc32900,E9_jmp,&LAB_52dbc840,0x00775FD0,20,0x52DBC840,0x009FE800,0x78E7E800
FUN_52dc32900,E9_jmp,&LAB_52dbc800,0x00776021,6,0x52DBC800,0x009FE7C0,0x78E7E7C0
FUN_52dc32900,E9_jmp,&LAB_52dbc7d0,0x0077616D,20,0x52DBC7D0,0x009FE790,0x78E7E790
FUN_52dc32900,E9_jmp,&LAB_52dbc780,0x007744E2,5,0x52DBC780,0x009FE740,0x78E7E740
FUN_52dc32900,E9_jmp,FUN_52dbc710,0x0078B220,5,0x52DBC710,0x009FE6D0,0x78E7E6D0
FUN_52dc32900,E9_jmp,&LAB_52db97d0,0x005556A1,10,0x52DB97D0,0x009FB790,0x78E7B790
FUN_52dc32900,E9_jmp,&LAB_52dbf480,0x005E589B,7,0x52DBF480,0x00A01440,0x78E81440
FUN_52dc32900,E9_jmp,&LAB_52dbf460,0x005E592E,6,0x52DBF460,0x00A01420,0x78E81420
FUN_52dc32900,E9_jmp,&LAB_52dbfa10,0x005D4C2D,10,0x52DBFA10,0x00A019D0,0x78E819D0
FUN_52dc32900,E9_jmp,&LAB_52dbf920,0x005E14D3,19,0x52DBF920,0x00A018E0,0x78E818E0
FUN_52dc32900,E9_jmp,&LAB_52dbf8e0,0x005E1779,7,0x52DBF8E0,0x00A018A0,0x78E818A0
FUN_52dc32900,E9_jmp,&LAB_52dbf6e0,0x005E1E7A,5,0x52DBF6E0,0x00A016A0,0x78E816A0
FUN_52dc32900,E9_jmp,&LAB_52dbf6b0,0x005E1938,7,0x52DBF6B0,0x00A01670,0x78E81670
FUN_52dc32900,E9_jmp,&LAB_52dbf670,0x005D141D,7,0x52DBF670,0x00A01630,0x78E81630
FUN_52dc32900,E9_jmp,&LAB_52dbf650,0x005E267E,7,0x52DBF650,0x00A01610,0x78E81610
FUN_52dc32900,E9_jmp,&LAB_52dbf630,0x005E141E,7,0x52DBF630,0x00A015F0,0x78E815F0
FUN_52dc32900,E9_jmp,&LAB_52dc0610,0x005FBFE3,7,0x52DC0610,0x00A025D0,0x78E825D0
FUN_52dc32900,E9_jmp,&LAB_52dc2910,0x005E94C8,7,0x52DC2910,0x00A048D0,0x78E848D0
FUN_52dc32900,E9_jmp,&LAB_52dc28d0,0x005EE9EE,12,0x52DC28D0,0x00A04890,0x78E84890
